num_player,num_level_players,total_player_hp,avg_player_ac,total_player_atk,num_enemy,total_enemy_hp,avg_enemy_ac,total_enemy_atk,player_victory
7,13,700,20.0,119,5,0.0,14.0,35,1
5,3,111,15.0,35,2,0.0,13.5,8,1
8,16,1104,22.0,160,2,0.0,18.5,13,1
7,4,266,16.0,56,3,0.0,12.666666666666666,21,1
3,13,215,20.0,51,4,0.0,15.25,21,1
6,9,433,18.0,78,4,0.0,14.0,21,1
5,1,0,14.0,25,5,352.0,14.0,31,0
4,12,43,20.0,64,9,0.0,16.333333333333332,61,1
7,2,0,15.0,42,10,693.0,12.0,67,0
7,2,0,15.0,42,4,132.0,14.25,25,0
8,11,784,19.0,120,2,0.0,15.5,14,1
6,12,587,20.0,96,5,0.0,15.8,30,1
8,11,542,19.0,120,9,0.0,15.333333333333334,63,1
8,15,1040,21.0,152,1,0.0,11.0,7,1
7,7,0,17.0,77,9,429.0,15.444444444444445,55,0
8,14,847,21.0,144,7,0.0,16.142857142857142,42,1
5,4,210,16.0,40,1,0.0,18.0,8,1
6,9,401,18.0,78,5,0.0,16.4,24,1
6,2,0,15.0,36,6,408.0,17.0,39,0
6,11,174,19.0,90,9,0.0,16.22222222222222,55,1
3,16,369,22.0,60,5,0.0,15.0,39,1
3,2,0,15.0,18,9,506.0,13.444444444444445,52,0
8,14,808,21.0,144,9,0.0,15.555555555555555,63,1
4,2,0,15.0,24,5,203.0,15.4,35,0
6,4,227,16.0,48,2,0.0,11.0,10,1
3,6,156,17.0,30,1,0.0,15.0,6,1
6,10,480,19.0,84,2,0.0,16.0,18,1
6,10,540,19.0,84,1,0.0,20.0,7,1
5,11,36,19.0,75,10,0.0,14.9,59,1
7,5,128,16.0,63,6,0.0,15.5,40,1
6,14,586,21.0,108,8,0.0,16.125,42,1
4,15,398,21.0,76,5,0.0,12.2,36,1
5,13,496,20.0,85,5,0.0,15.4,32,1
4,6,0,17.0,40,8,483.0,15.75,63,0
5,11,203,19.0,75,8,0.0,15.75,37,1
3,5,0,16.0,27,9,606.0,14.88888888888889,56,0
8,11,701,19.0,120,8,0.0,14.875,53,1
3,13,0,20.0,51,9,315.5,14.11111111111111,53,0
5,15,650,21.0,95,1,0.0,15.0,8,1
8,11,712,19.0,120,3,0.0,11.666666666666666,11,1
4,6,200,17.0,40,1,0.0,16.0,6,1
3,3,0,15.0,21,10,645.0,14.8,59,0
3,11,91,19.0,45,5,0.0,15.6,39,1
